STATE,YEAR,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
MASSACHUSETTS,1999,January,Heavy Snow,0,0,0,0,
MICHIGAN,1999,January,Blizzard,0,0,0,0,
OHIO,1999,January,Winter Storm,0,0,0,0,2K
MISSOURI,1999,August,Drought,0,0,0,0,
NEW YORK,1999,January,Winter Storm,0,0,0,0,3K
NEBRASKA,1999,January,Cold/Wind Chill,0,0,0,0,
SOUTH DAKOTA,1999,January,Winter Storm,0,0,0,0,
SOUTH DAKOTA,1999,January,Winter Storm,0,0,0,0,
SOUTH DAKOTA,1999,January,Winter Storm,0,0,0,0,
TEXAS,1999,January,Thunderstorm Wind,0,0,0,0,50K
TEXAS,1999,January,Hail,0,0,0,0,
TEXAS,1999,January,Hail,0,0,0,0,
GEORGIA,1999,January,Sleet,0,0,0,0,
GEORGIA,1999,January,Sleet,0,0,0,0,
SOUTH CAROLINA,1999,January,Ice Storm,0,0,0,0,1.54M
MISSISSIPPI,1999,January,Flash Flood,0,0,0,0,20K
ILLINOIS,1999,January,Hail,0,0,0,0,
LOUISIANA,1999,January,Tornado,0,0,0,0,60K
OHIO,1999,January,Winter Storm,0,0,0,0,
OHIO,1999,January,Winter Storm,0,0,0,0,
OHIO,1999,January,Winter Storm,0,0,0,0,
SOUTH DAKOTA,1999,January,Winter Storm,0,0,0,0,
VIRGINIA,1999,January,Winter Weather,0,0,0,0,
LOUISIANA,1999,January,Tornado,0,0,0,0,88K
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
FLORIDA,1999,January,Dense Fog,0,0,0,0,0
VIRGINIA,1999,January,Winter Weather,0,0,0,0,
VIRGINIA,1999,January,Winter Weather,0,0,0,0,
OKLAHOMA,1999,January,Hail,0,0,0,0,
